EMPLOYER_KEY,EMPLOYER_NAME,Certified_LCAs,New_Employment_Approval,Most_Common_SOC,Median_Prevailing_Wage_Level,Median_Annualized_Prevailing_Wage
tataconsultancyserviceslimited,TATA CONSULTANCY SERVICES LIMITED,2568,744,Computer Systems Engineers/Architects,II,85530
tataconsultancyservieslimited,TATA CONSULTANCY SERVIES LIMITED,1,744,Computer Systems Engineers/Architects,II,76794
cognizanttechnologysolutionsuscorp,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,4126,630,Computer Systems Engineers/Architects,III,109782
google,Google,6523,625,Software Developers,II,151549
apple,Apple,3918,603,Software Developers,IV,165275
amazondevelopmentcenterus,AMAZON DEVELOPMENT CENTER U.S.,198,560,Software Developers,II,137259
nvidiacorporation,NVIDIA Corporation,1010,511,Software Developers,IV,169770
ernstyoungusllp,Ernst & Young U.S. LLP,6421,510,Accountants and Auditors,II,94973
ibmcorporation,IBM Corporation,931,416,Computer Systems Analysts,III,113651
jpmorganchaseco,JPMorgan Chase & Co,1570,414,Software Developers,IV,138590
goldmansachsco,GOLDMAN SACHS & CO,638,405,Software Developers,II,100547
oracleamerica,Oracle America,631,375,Software Developers,IV,140863
bytedance,ByteDance,467,374,Software Developers,III,163862
capgeminiamerica,CAPGEMINI AMERICA,1068,348,Software Developers,III,114941
770205035,77-0205035,1,330,Information Technology Project Managers,III,124259
hclamerica,HCL AMERICA,944,330,Information Technology Project Managers,III,104832
amazonwebservices,Amazon Web Services,417,307,Software Developers,II,118414
techmahindraamericas,Tech Mahindra (Americas),468,275,Software Developers,II,99372
ltimindtreelimited,LTIMindtree Limited,1178,242,Software Developers,II,94370
avanthealthcareprofessionals,Avant Healthcare Professionals,97,233,Registered Nurses,III,69825.6
infosyslimited,INFOSYS LIMITED,1452,233,Information Technology Project Managers,III,109782
infosysnovaholdings,Infosys Nova Holdings,12,233,Computer Systems Engineers/Architects,IV,136136
walmartassociates,WAL-MART ASSOCIATES,1742,209,Software Developers,III,113880
thelelandstanfordjruniversity,"The Leland Stanford, Jr University",266,207,Molecular and Cellular Biologists,I,71635
accenturellp,Accenture LLP,1057,188,Computer Systems Analysts,III,118102
persistentsystemslimited,PERSISTENT SYSTEMS LIMITED,135,185,Software Developers,II,92682
bostonconsultinggroup,Boston Consulting Group,175,177,Management Analysts,III,131706
mayocl,Mayo Cl,1,176,"Surgeons, All Other",IV,190549
mayoclinic,Mayo Clinic,270,176,"Physicians, All Other",III,74319
tesla,Tesla,1021,165,Software Developers,III,133432
bloomberglp,Bloomberg L.P,213,164,Software Developers,III,151819
intuit,Intuit,426,164,Software Developers,III,151819
microntechnology,Micron Technology,197,161,Electrical Engineers,III,113734
universityofmichigan,University of Michigan,277,156,"Medical Scientists, Except Epidemiologists",I,58822
linkedincorporation,LINKEDIN CORPORATION,619,154,Software Developers,III,163862
tiktok,TikTok,265,154,Software Developers,II,166962
ubertechnologies,Uber Technologies,452,151,Software Developers,III,172931
goldmansachsservices,GOLDMAN SACHS SERVICES,360,150,Software Developers,III,120682
qualcommtechnologies,Qualcomm Technologies,1439,150,"Electronics Engineers, Except Computer",II,126880
citibankna,"Citibank, N.A",505,142,Software Developers,IV,140317
thewashingtonuniversity,The Washington University,7,142,"Medical Scientists, Except Epidemiologists",I,56368
washingtonuniversity,Washington University,184,142,"Medical Scientists, Except Epidemiologists",I,62753.5
washingtonuniversityinstlouis,Washington University in St. Louis,3,142,"Health Specialties Teachers, Postsecondary",II,103840
deloitteconsultingllp,Deloitte Consulting LLP,1610,133,Software Developers,II,120401
ohiohealthcorp,OhioHealth Corp,41,131,Registered Nurses,III,71926.4
capitalonenationalassociation,"Capital One, National Association",154,123,Data Scientists,II,111966
servicenow,ServiceNow,615,121,Software Developers,III,136365
capitaloneservices,Capital One Services,328,119,Software Developers,IV,150550
bofasecurities,BOFA SECURITIES,67,114,Financial and Investment Analysts,III,146141
clevelandclinic,Cleveland Clinic,33,112,"Physicians, All Other",II,65458
clevelandclinicfoundation,Cleveland Clinic Foundation,55,112,"Physicians, All Other",IV,66560
theclevelandclinicfoundation,The Cleveland Clinic Foundation,4,112,Cardiologists,II,108846.5
trusteesoftheuniversityofpennsylvania,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,143,111,"Medical Scientists, Except Epidemiologists",I,63232
emoryuniversity,Emory University,175,108,"Physicians, All Other",II,65374
ustglobal,UST Global,355,106,Software Developers,II,97552
thetrusteesofprincetonuniversity,The Trustees of Princeton University,140,105,Chemists,I,60528
universityofpittsburgh,University of Pittsburgh,163,105,"Medical Scientists, Except Epidemiologists",I,56368
adobe,Adobe,838,102,Software Developers,III,151498
amazondataservices,AMAZON DATA SERVICES,92,101,Software Developers,II,122876
universityofwisconsinsystem,University of Wisconsin System,128,100,"Mathematical Science Teachers, Postsecondary",I,61248
univofwisystemadmin,Univ of WI System Admin,1,100,Computer Systems Analysts,I,65125
univofwisystemeauclaire,Univ of WI System/Eau Claire,6,100,"Business Teachers, Postsecondary",I,65960
univofwisystemgreenbay,Univ of WI System/Green Bay,7,100,"Business Teachers, Postsecondary",I,60110
univofwisystemlacrosse,Univ of WI System/La Crosse,11,100,"Business Teachers, Postsecondary",I,61940
univofwisystemoshkosh,Univ of WI System/Oshkosh,3,100,"Mathematical Science Teachers, Postsecondary",I,52900
